timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708766172832,421,HTTP Request POST,201,Created,workLoadConfig 1-85,text,true,,893,189,18,18,https://reqres.in/api/users,421,0,0
1708766173070,169,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-93,text,true,,1182,96,18,18,https://reqres.in/api/users/2,169,0,91
1708766172799,440,HTTP Request POST,201,Created,workLoadConfig 1-82,text,true,,893,189,18,18,https://reqres.in/api/users,440,0,0
1708766172799,410,HTTP Request POST,201,Created,workLoadConfig 1-80,text,true,,893,189,16,16,https://reqres.in/api/users,410,0,0
1708766172799,408,HTTP Request POST,201,Created,workLoadConfig 1-83,text,true,,893,189,16,16,https://reqres.in/api/users,408,0,0
1708766172800,399,HTTP Request POST,201,Created,workLoadConfig 1-84,text,true,,893,189,16,16,https://reqres.in/api/users,399,0,0
1708766172799,398,HTTP Request POST,201,Created,workLoadConfig 1-81,text,true,,893,189,16,16,https://reqres.in/api/users,398,0,0
1708766173022,146,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-92,text,true,,1182,96,16,16,https://reqres.in/api/users/2,146,0,81
1708766173016,147,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-91,text,true,,1182,96,16,16,https://reqres.in/api/users/2,147,0,84
1708766172926,175,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-90,text,true,,1182,96,14,14,https://reqres.in/api/users/2,175,0,98
1708766172918,171,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-89,text,true,,1182,96,14,14,https://reqres.in/api/users/2,171,0,97
1708766172822,226,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-88,text,true,,1182,96,13,13,https://reqres.in/api/users/2,226,0,156
1708766173424,159,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-100,text,true,,1182,96,16,16,https://reqres.in/api/users/2,159,0,89
1708766173485,150,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-101,text,true,,1182,96,17,17,https://reqres.in/api/users/2,150,0,92
1708766173519,158,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-102,text,true,,1182,96,17,17,https://reqres.in/api/users/2,158,0,99
1708766173568,132,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-103,text,true,,1182,96,18,18,https://reqres.in/api/users/2,132,0,71
1708766173617,153,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-104,text,true,,1182,96,20,20,https://reqres.in/api/users/2,153,0,80
1708766173682,121,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-105,text,true,,1182,96,20,20,https://reqres.in/api/users/2,121,0,59
1708766173713,159,HTTP Request GET SINGLE USER,200,OK,workLoadConfig 1-106,text,true,,1182,96,22,22,https://reqres.in/api/users/2,159,0,83
